# capture_start_utc=2026-08-29T17:33:14Z
[[DEBUG]] Starting [[SENSOR TASK]]
[SELFTEST] compensate: T=150 (exp 150)  P=69964 (exp 69964)  -> PASS
#BMP180 v1 fw=1.4.0 temp_ms=1000
[[DEBUG]] BMP180 registered on /dev/bmp180-0
S 1296620 299 101649 0
S 1301626 299 101655 0
S 1306619 299 101649 0
S 1311619 299 101649 0
S 1316618 299 101652 0
S 1321618 299 101652 0
S 1326618 299 101661 0
S 1331617 299 101646 0
S 1336624 299 101652 0
S 1341617 299 101655 0
S 1346616 299 101661 0
S 1351616 299 101646 0
S 1356616 299 101661 0
S 1361615 299 101646 0
S 1366615 299 101640 0
S 1371622 299 101652 0
S 1376615 299 101643 0
S 1381614 299 101643 0
S 1386614 299 101652 0
S 1391614 299 101649 0
S 1396613 299 101646 0
S 1401613 299 101649 0
S 1406613 299 101649 0
S 1411612 299 101649 0
S 1416612 299 101652 0
S 1421612 299 101646 0
S 1426611 299 101643 0
S 1431611 299 101646 0
S 1436611 299 101652 0
S 1441610 299 101643 0
S 1446610 299 101646 0
S 1451610 299 101649 0
S 1456617 299 101646 0
S 1461609 299 101661 0
S 1466609 299 101652 0
S 1471609 299 101652 0
S 1476608 299 101655 0
S 1481608 299 101655 0
S 1486608 299 101655 0
S 1491614 299 101652 0
S 1496607 299 101652 0
S 1501607 299 101652 0
S 1506606 299 101655 0
S 1511606 299 101649 0
S 1516606 299 101646 0
S 1521605 299 101646 0
S 1526612 299 101643 0
S 1531605 299 101652 0
S 1536605 299 101646 0
S 1541604 299 101640 0
S 1546604 299 101649 0
S 1551604 299 101643 0
S 1556603 299 101655 0
S 1561610 299 101652 0
S 1566603 299 101649 0
S 1571602 299 101646 0
S 1576602 299 101649 0
S 1581602 299 101646 0
S 1586601 299 101655 0
S 1591601 299 101640 0
S 1596601 299 101649 0
S 1601600 299 101643 0
S 1606600 299 101643 0
S 1611600 299 101646 0
S 1616600 299 101649 0
S 1621599 299 101646 0
S 1626599 299 101649 0
S 1631599 299 101652 0
S 1636598 299 101652 0
S 1641598 299 101655 0
S 1646605 299 101649 0
S 1651597 299 101649 0
S 1656597 299 101649 0
S 1661597 299 101646 0
S 1666596 299 101652 0
S 1671596 299 101652 0
S 1676596 299 101649 0
S 1681603 299 101649 0
S 1686595 299 101643 0
S 1691595 299 101652 0
S 1696595 299 101649 0
S 1701594 299 101655 0
S 1706594 299 101643 0
S 1711594 299 101649 0
S 1716600 299 101652 0
S 1721593 299 101649 0
S 1726593 299 101652 0
S 1731592 299 101649 0
S 1736592 299 101646 0
S 1741592 299 101649 0
S 1746591 299 101652 0
S 1751591 299 101646 0
S 1756591 299 101652 0
S 1761590 299 101649 0
S 1766590 299 101649 0
S 1771590 299 101643 0
S 1776590 299 101649 0
S 1781589 299 101649 0
S 1786589 299 101649 0
S 1791589 299 101640 0
S 1796588 299 101646 0
S 1801595 299 101643 0
S 1806588 299 101646 0
S 1811587 299 101646 0
S 1816587 299 101640 0
S 1821587 299 101643 0
S 1826586 299 101652 0
S 1831586 299 101652 0
S 1836593 299 101646 0
S 1841585 299 101637 0
S 1846585 299 101646 0
S 1851585 299 101649 0
S 1856585 299 101643 0
S 1861584 299 101649 0
S 1866584 299 101649 0
S 1871584 299 101649 0
S 1876583 299 101643 0
S 1881583 299 101646 0
S 1886583 299 101655 0
S 1891582 299 101643 0
S 1896582 299 101646 0
S 1901582 299 101637 0
S 1906581 299 101649 0
S 1911581 299 101646 0
S 1916581 299 101649 0
S 1921580 299 101652 0
S 1926580 299 101652 0
S 1931580 299 101643 0
S 1936580 299 101646 0
S 1941579 299 101646 0
S 1946579 299 101649 0
S 1951579 299 101649 0
S 1956578 299 101655 0
S 1961578 299 101646 0
S 1966578 299 101649 0
S 1971577 299 101643 0
S 1976577 299 101649 0
S 1981577 299 101649 0
S 1986576 299 101652 0
S 1991583 299 101649 0
S 1996576 299 101649 0
S 2001576 299 101646 0
S 2006575 299 101646 0
S 2011575 299 101649 0
S 2016575 299 101649 0
S 2021574 299 101646 0
S 2026581 299 101646 0
S 2031574 299 101649 0
S 2041573 300 101652 0
S 2046573 300 101655 0
S 2051572 300 101661 0
S 2056572 300 101664 0
S 2061572 300 101658 0
S 2066571 300 101652 0
S 2071571 300 101652 0
S 2076571 300 101670 0
S 2081570 300 101658 0
S 2086570 300 101658 0
S 2091570 300 101655 0
S 2096570 300 101658 0
S 2101569 300 101658 0
S 2106569 300 101658 0
S 2111569 300 101658 0
S 2116568 300 101670 0
S 2121568 300 101661 0
S 2126568 300 101658 0
S 2131567 300 101655 0
S 2136567 300 101652 0
S 2141567 300 101655 0
S 2146566 300 101655 0
S 2151566 300 101649 0
S 2156566 300 101658 0
S 2161565 300 101655 0
S 2166565 300 101658 0
S 2171565 300 101655 0
S 2176565 300 101658 0
S 2181571 300 101652 0
S 2186564 300 101655 0
S 2191564 300 101649 0
S 2196563 300 101658 0
S 2201563 300 101652 0
S 2206563 300 101661 0
S 2211562 300 101670 0
S 2216562 300 101664 0
S 2221562 300 101655 0
S 2226561 300 101661 0
S 2231561 300 101661 0
S 2236561 300 101670 0
S 2241560 300 101661 0
S 2246560 300 101655 0
S 2251560 300 101661 0
S 2256560 300 101658 0
S 2261559 300 101658 0
S 2266559 300 101658 0
S 2271559 300 101658 0
S 2276558 300 101658 0
S 2281558 300 101661 0
S 2286558 300 101661 0
S 2291557 300 101649 0
S 2296557 300 101664 0
S 2301557 300 101652 0
S 2306556 300 101658 0
S 2311556 300 101658 0
S 2316556 300 101658 0
S 2321555 300 101661 0
S 2326555 300 101658 0
S 2331555 300 101655 0
S 2336562 300 101658 0
S 2341554 300 101652 0
S 2346554 300 101649 0
S 2351554 300 101652 0
S 2356553 300 101658 0
S 2361553 300 101658 0
S 2366553 300 101658 0
S 2371559 300 101649 0
S 2376552 300 101655 0
S 2381552 300 101664 0
S 2386551 300 101658 0
S 2391551 300 101652 0
S 2396551 300 101658 0
S 2401550 300 101661 0
S 2406550 300 101658 0
S 2411550 300 101655 0
S 2416550 300 101658 0
S 2421549 300 101649 0
S 2426549 300 101652 0
S 2431549 300 101655 0
S 2436548 300 101664 0
S 2441548 300 101655 0
S 2446548 300 101646 0
S 2451547 300 101661 0
S 2456547 300 101664 0
S 2461547 300 101658 0
S 2466546 300 101655 0
S 2471546 300 101649 0
S 2476546 300 101658 0
S 2481545 300 101664 0
S 2486545 300 101658 0
S 2491545 300 101652 0
S 2496545 300 101664 0
S 2501544 300 101664 0
S 2506544 300 101661 0
S 2511544 300 101661 0
S 2516543 300 101655 0
S 2521543 300 101658 0
S 2526550 300 101664 0
S 2531542 300 101658 0
S 2536542 300 101655 0
S 2541542 300 101655 0
S 2546541 300 101658 0
S 2551541 300 101649 0
S 2579539 300 101655 1
S 2586539 300 101655 1
S 2593538 300 101655 1
S 2600538 300 101655 1
S 2607538 300 101655 1
S 2614537 300 101649 1
S 2621537 300 101654 1
S 2628536 300 101654 1
S 2635536 300 101654 1
S 2642535 300 101655 1
S 2649535 300 101657 1
S 2656535 300 101654 1
S 2663534 300 101649 1
S 2670534 300 101652 1
S 2677533 300 101657 1
S 2684533 300 101660 1
S 2691532 300 101655 1
S 2698532 300 101649 1
S 2705531 300 101642 1
S 2712531 300 101654 1
S 2719531 300 101658 1
S 2726530 300 101651 1
S 2733530 300 101645 1
S 2740529 300 101652 1
S 2747529 300 101648 1
S 2754528 300 101654 1
S 2761528 300 101649 1
S 2768528 300 101654 1
S 2775527 300 101652 1
S 2782527 300 101654 1
S 2789526 300 101654 1
S 2796526 300 101655 1
S 2803525 300 101655 1
S 2810525 300 101652 1
S 2817524 300 101654 1
S 2824524 300 101652 1
S 2831524 300 101652 1
S 2838523 300 101652 1
S 2845523 300 101652 1
S 2852522 300 101658 1
S 2859522 300 101649 1
S 2866521 300 101645 1
S 2873521 300 101651 1
S 2880521 300 101652 1
S 2887520 300 101642 1
S 2894520 300 101649 1
S 2901519 300 101651 1
S 2908519 300 101648 1
S 2915518 300 101649 1
S 2922518 300 101657 1
S 2929517 300 101652 1
S 2936517 300 101651 1
S 2943517 300 101652 1
S 2950516 300 101654 1
S 2957516 300 101649 1
S 2964515 300 101652 1
S 2971515 300 101652 1
S 2978514 300 101651 1
S 2985514 300 101652 1
S 2992514 300 101651 1
S 2999513 300 101652 1
S 3006513 300 101654 1
S 3013512 300 101652 1
S 3020512 300 101657 1
S 3027511 300 101652 1
S 3034511 300 101652 1
S 3041510 300 101652 1
S 3053510 300 101657 1
S 3060509 300 101655 1
S 3067509 300 101658 1
S 3074508 300 101652 1
S 3081508 300 101652 1
